Candidates for manual review (count == 1)
Format: function_name | file | lineno | reference_count
salvar_alimento_json | logica.py | 462 | 0
salvar_exame_laboratorial | database_manager.py | 1591 | 0
salvar_ficha_exame | app.py | 1807 | 0
salvar_ficha_medica | app.py | 1753 | 0
salvar_ficha_medica | database_manager.py | 1648 | 0
salvar_ficha_medica | logica.py | 250 | 0
salvar_glicemia | database_manager.py | 1367 | 0
salvar_glicemia | db_adapter.py | 72 | 0
salvar_log_acao | app.py | 162 | 0
salvar_log_acao | database_manager.py | 893 | 0
salvar_log_acao | logica.py | 67 | 0
salvar_log_acao | logica.py | 595 | 0
salvar_parametros_clinicos | database_manager.py | 2025 | 0
salvar_parametros_paciente | database_manager.py | 534 | 0
salvar_refeicao | database_manager.py | 1156 | 0
salvar_refeicao | db_adapter.py | 60 | 0
salvar_refeicao | tests\test_database_manager_adapter.py | 29 | 0
salvar_registro | database_manager.py | 1277 | 0
salvar_registro | logica.py | 116 | 0
salvar_registro_insulina | database_manager.py | 2509 | 0
salvar_registro_insulina | db_adapter.py | 63 | 0
salvar_registro_insulina | tests\test_database_manager_adapter.py | 32 | 0
salvar_usuario | database_manager.py | 909 | 0
salvar_usuario | logica.py | 16 | 0
salvar_usuario | logica.py | 372 | 0
setUp | tests\test_database_manager_adapter.py | 43 | 0
set_now_fn | service_manager.py | 126 | 0
verificar_login | logica.py | 400 | 0
verificar_permissao_relatorio | relatorios.py | 12 | 0
verificar_vinculo_medico_paciente | database_manager.py | 638 | 0
vincular_cuidador | app.py | 757 | 0
vincular_cuidador_paciente | app.py | 739 | 0
vincular_cuidador_paciente | database_manager.py | 1752 | 0
vincular_paciente_medico | database_manager.py | 1808 | 0
